R
Wavelength,AG_APR02_A_PSPQ_405nm_2hr30min(ListNo.:164) Incident angle:0,AG_APR02_A_PSPQ_405nm_2hr30min(ListNo.:165) Incident angle:0,AG_APR02_E_PSPQ_405nm_2hr30min(ListNo.:166) Incident angle:0,AG_APR02_E_PSPQ_405nm_2hr30min(ListNo.:167) Incident angle:0,AG_APR02_E_PSPQ_405nm_2hr30min(ListNo.:168) Incident angle:0,AG_APR02_E_PSPQ_405nm_2hr30min(ListNo.:169) Incident angle:0,AG_APR02_E_PSPQ_405nm_2hr30min(ListNo.:170) Incident angle:0,AG_APR02_P_PSPQ_405nm_3hrmin(ListNo.:171) Incident angle:0,AG_APR02_P_PSPQ_405nm_3hrmin(ListNo.:172) Incident angle:0,AG_APR02_P_PSPQ_405nm_3hrmin(ListNo.:173) Incident angle:0,AG_APR02_K_PSPQ_405nm_3hr(ListNo.:174) Incident angle:0,AG_APR02_K_PSPQ_405nm_3hr(ListNo.:175) Incident angle:0,AG_APR02_K_PSPQ_405nm_3hr(ListNo.:176) Incident angle:0
249.525,0.0780800,0.0805472,0.1020083,0.1052012,0.1044756,0.1192244,0.1218730,0.1241225,0.1185713,0.1242858,0.1044574,0.0756128,0.1116776
250.739,0.0742498,0.0774700,0.1036407,0.1063397,0.1005881,0.1169495,0.1197043,0.1266658,0.1180477,0.1257165,0.1003647,0.0756458,0.1101928
251.954,0.0708660,0.0756357,0.1048569,0.1070626,0.0965807,0.1149617,0.1166773,0.1280641,0.1175633,0.1270272,0.0969766,0.0757865,0.1079675
253.169,0.0674174,0.0731470,0.1060358,0.1081844,0.0931630,0.1121235,0.1148752,0.1292936,0.1174197,0.1277669,0.0936719,0.0765584,0.1069028
254.383,0.0645452,0.0709585,0.1069333,0.1088218,0.0892451,0.1102428,0.1120939,0.1300065,0.1160579,0.1272392,0.0908157,0.0766614,0.1050074
255.598,0.0616715,0.0683970,0.1083628,0.1093393,0.0855331,0.1073309,0.1094315,0.1307318,0.1144433,0.1268440,0.0880758,0.0761911,0.1023928
256.813,0.0599183,0.0673563,0.1096612,0.1104356,0.0823224,0.1050687,0.1062933,0.1302463,0.1128849,0.1265543,0.0868068,0.0768114,0.1002961
258.027,0.0569547,0.0653387,0.1105664,0.1110740,0.0788860,0.1022350,0.1033026,0.1296621,0.1116516,0.1254264,0.0848020,0.0764881,0.0981918
259.242,0.0547796,0.0637689,0.1106216,0.1108746,0.0756255,0.0995578,0.1000806,0.1288534,0.1094242,0.1238106,0.0833837,0.0757941,0.0957462
260.457,0.0535578,0.0623069,0.1124488,0.1118204,0.0732956,0.0976415,0.0979154,0.1284968,0.1080179,0.1227286,0.0832369,0.0761797,0.0939678
261.671,0.0520454,0.0608346,0.1131254,0.1120824,0.0704675,0.0948106,0.0948259,0.1270533,0.1059774,0.1215159,0.0833984,0.0756982,0.0919269
262.886,0.0506912,0.0599596,0.1142414,0.1128110,0.0682938,0.0928877,0.0924061,0.1264581,0.1047979,0.1206052,0.0838821,0.0760004,0.0912092
264.101,0.0487539,0.0581829,0.1142114,0.1124907,0.0655694,0.0899954,0.0888622,0.1249135,0.1024881,0.1183384,0.0831404,0.0744669,0.0893239
265.315,0.0475930,0.0566991,0.1150267,0.1126518,0.0636881,0.0871928,0.0859714,0.1235763,0.1009130,0.1167366,0.0838951,0.0738934,0.0884685
266.530,0.0471316,0.0555222,0.1155006,0.1124763,0.0613702,0.0846550,0.0827949,0.1219374,0.0989872,0.1148984,0.0841464,0.0725576,0.0872243
267.744,0.0464906,0.0543355,0.1157488,0.1122772,0.0596506,0.0819069,0.0796463,0.1199606,0.0974083,0.1130038,0.0838042,0.0709941,0.0865089
268.959,0.0459028,0.0532362,0.1152256,0.1115451,0.0575783,0.0792615,0.0759257,0.1182444,0.0949484,0.1103183,0.0821977,0.0681511,0.0844721
270.174,0.0451375,0.0519032,0.1151158,0.1108443,0.0566620,0.0762852,0.0730600,0.1164345,0.0931419,0.1081782,0.0805137,0.0657641,0.0827068
271.388,0.0459237,0.0516510,0.1150723,0.1101567,0.0557698,0.0741093,0.0703963,0.1147867,0.0921330,0.1066843,0.0788895,0.0645637,0.0809940
272.603,0.0462979,0.0507088,0.1147135,0.1093031,0.0548816,0.0716047,0.0677968,0.1130793,0.0908823,0.1051144,0.0766502,0.0627830,0.0792206
273.818,0.0458132,0.0499582,0.1130898,0.1076023,0.0536165,0.0691729,0.0640713,0.1111431,0.0884211,0.1023665,0.0740730,0.0614367,0.0770433
275.032,0.0449338,0.0487108,0.1118736,0.1058623,0.0531794,0.0659467,0.0608753,0.1095152,0.0868000,0.1002411,0.0722949,0.0605029,0.0759123
276.247,0.0455781,0.0484139,0.1101673,0.1043091,0.0534139,0.0639549,0.0587870,0.1074248,0.0859883,0.0992905,0.0729660,0.0618653,0.0767160
277.462,0.0456032,0.0474430,0.1091346,0.1026562,0.0535691,0.0622592,0.0571508,0.1059248,0.0863330,0.0978806,0.0740025,0.0635118,0.0783671
278.676,0.0452907,0.0462735,0.1066133,0.1001227,0.0527436,0.0601146,0.0540130,0.1034806,0.0850326,0.0950244,0.0737714,0.0630630,0.0790744
279.891,0.0445031,0.0452284,0.1051561,0.0980732,0.0530367,0.0584343,0.0519274,0.1017000,0.0842486,0.0931023,0.0743069,0.0632131,0.0796404
281.106,0.0447138,0.0448687,0.1026582,0.0963084,0.0534088,0.0565062,0.0500237,0.0989412,0.0840071,0.0913968,0.0739404,0.0623914,0.0792503
282.320,0.0459140,0.0451621,0.1013755,0.0947903,0.0549601,0.0558260,0.0499928,0.0971601,0.0848555,0.0903698,0.0728245,0.0623428,0.0792274
283.535,0.0462098,0.0441317,0.0986308,0.0916958,0.0539387,0.0546158,0.0478677,0.0953617,0.0833598,0.0874461,0.0682756,0.0589123,0.0753040
284.750,0.0466572,0.0440533,0.0972675,0.0903553,0.0548950,0.0535930,0.0467045,0.0945926,0.0820702,0.0865678,0.0645767,0.0567887,0.0716783
285.964,0.0468645,0.0444667,0.0949635,0.0880312,0.0551976,0.0524911,0.0450365,0.0930405,0.0810039,0.0860607,0.0603731,0.0548414,0.0679702
287.179,0.0466438,0.0443140,0.0929346,0.0864864,0.0562456,0.0514212,0.0452553,0.0920639,0.0813090,0.0857804,0.0575399,0.0551630,0.0668593
288.393,0.0462814,0.0438382,0.0902579,0.0836660,0.0562383,0.0510524,0.0441609,0.0917100,0.0802779,0.0845880,0.0554086,0.0556391,0.0657804
289.608,0.0455306,0.0432563,0.0893889,0.0823653,0.0569690,0.0504805,0.0442596,0.0916632,0.0800018,0.0843943,0.0566568,0.0570358,0.0678945
290.823,0.0444981,0.0428602,0.0869967,0.0802326,0.0567712,0.0499646,0.0424986,0.0899958,0.0795307,0.0835721,0.0591960,0.0590684,0.0721924
292.037,0.0426353,0.0414097,0.0849290,0.0785598,0.0570011,0.0494063,0.0421330,0.0881236,0.0804887,0.0826385,0.0623255,0.0607181,0.0785196
293.252,0.0414412,0.0404626,0.0825249,0.0765025,0.0567041,0.0493644,0.0418176,0.0860254,0.0799277,0.0806053,0.0657188,0.0610891,0.0854796
294.467,0.0405071,0.0392429,0.0809790,0.0745702,0.0562569,0.0493740,0.0414201,0.0841922,0.0795217,0.0785209,0.0680737,0.0601022,0.0907239
295.681,0.0402209,0.0386140,0.0786545,0.0727845,0.0548958,0.0490258,0.0406636,0.0811632,0.0779986,0.0766869,0.0693412,0.0572405,0.0944772
296.896,0.0402089,0.0387139,0.0770734,0.0711708,0.0544646,0.0491168,0.0406712,0.0792773,0.0769347,0.0752548,0.0679343,0.0537094,0.0963687
298.111,0.0393239,0.0379629,0.0744184,0.0688571,0.0529783,0.0486756,0.0400703,0.0773307,0.0739940,0.0732915,0.0633837,0.0479731,0.0941169
299.325,0.0398232,0.0381966,0.0732662,0.0673208,0.0525133,0.0489096,0.0407627,0.0770382,0.0722847,0.0729016,0.0580381,0.0433988,0.0901490
300.540,0.0399953,0.0382482,0.0712684,0.0658779,0.0513994,0.0486093,0.0410653,0.0764693,0.0698733,0.0729207,0.0513452,0.0387222,0.0834038
301.755,0.0393449,0.0383293,0.0697868,0.0646164,0.0503056,0.0484326,0.0411387,0.0767246,0.0679402,0.0734271,0.0444493,0.0358628,0.0760783
302.969,0.0374748,0.0376045,0.0673147,0.0626612,0.0488819,0.0478579,0.0406896,0.0769589,0.0653055,0.0734071,0.0370730,0.0335342,0.0674184
304.184,0.0358264,0.0366977,0.0658738,0.0612610,0.0483835,0.0473072,0.0409133,0.0772394,0.0643106,0.0740360,0.0327896,0.0343656,0.0603897
305.398,0.0341503,0.0357948,0.0638263,0.0593392,0.0468340,0.0470125,0.0405750,0.0767777,0.0633037,0.0741772,0.0306066,0.0372990,0.0553238
306.613,0.0318801,0.0343649,0.0618646,0.0574713,0.0450472,0.0464433,0.0401415,0.0756080,0.0629533,0.0737636,0.0305993,0.0412431,0.0531549
307.828,0.0294852,0.0331303,0.0598265,0.0550010,0.0426906,0.0461282,0.0386823,0.0734730,0.0618890,0.0716828,0.0324817,0.0456612,0.0535222
309.042,0.0277392,0.0321351,0.0580604,0.0529892,0.0408343,0.0455877,0.0379610,0.0706788,0.0614897,0.0695930,0.0364913,0.0505794,0.0572130
310.257,0.0275193,0.0323805,0.0563458,0.0507494,0.0388484,0.0452619,0.0372144,0.0668988,0.0608938,0.0666401,0.0414220,0.0553927,0.0630861
311.472,0.0279423,0.0327473,0.0551096,0.0490364,0.0364109,0.0449500,0.0368759,0.0628032,0.0604360,0.0630710,0.0456687,0.0583505,0.0704687
312.686,0.0287854,0.0340258,0.0533726,0.0468258,0.0335120,0.0442423,0.0356404,0.0580111,0.0575414,0.0583488,0.0477506,0.0589506,0.0765359
313.906,0.0305159,0.0362386,0.0524861,0.0453366,0.0316052,0.0432654,0.0350265,0.0542658,0.0551710,0.0543885,0.0486045,0.0578406,0.0817593
315.128,0.0334239,0.0394601,0.0512917,0.0443885,0.0301168,0.0420768,0.0349650,0.0502321,0.0522388,0.0511151,0.0474548,0.0556583,0.0854379
316.349,0.0365898,0.0432256,0.0508863,0.0438472,0.0290467,0.0411593,0.0351618,0.0473920,0.0497607,0.0484335,0.0444856,0.0527847,0.0866361
317.571,0.0392086,0.0464668,0.0497357,0.0426707,0.0274161,0.0392613,0.0339362,0.0449378,0.0454475,0.0454651,0.0388219,0.0475916,0.0837598
318.792,0.0414067,0.0504089,0.0494575,0.0427973,0.0274825,0.0375277,0.0336304,0.0444074,0.0420654,0.0446636,0.0339963,0.0444806,0.0793735
320.014,0.0425083,0.0533918,0.0480545,0.0422804,0.0270093,0.0350437,0.0318907,0.0431921,0.0386716,0.0442937,0.0291176,0.0423944,0.0722148
321.235,0.0438474,0.0563669,0.0480598,0.0425544,0.0286831,0.0336791,0.0321705,0.0439846,0.0382245,0.0456303,0.0271157,0.0440238,0.0658887
322.457,0.0432745,0.0570199,0.0463829,0.0408928,0.0284998,0.0320522,0.0301347,0.0443645,0.0360285,0.0449296,0.0257144,0.0462416,0.0572015
323.678,0.0424215,0.0573890,0.0462461,0.0411398,0.0300176,0.0305964,0.0286945,0.0452331,0.0353306,0.0462461,0.0294180,0.0528615,0.0501326
324.900,0.0407268,0.0571356,0.0449871,0.0395668,0.0304132,0.0292954,0.0262794,0.0445021,0.0352009,0.0462948,0.0364664,0.0621341,0.0444599
326.121,0.0398008,0.0556439,0.0445881,0.0391997,0.0324589,0.0287665,0.0261689,0.0439226,0.0369457,0.0466490,0.0469710,0.0745139,0.0430639
327.343,0.0396433,0.0540571,0.0431105,0.0374191,0.0332978,0.0288711,0.0248152,0.0424563,0.0376372,0.0448768,0.0598575,0.0878346,0.0436338
328.564,0.0409910,0.0523749,0.0433957,0.0368875,0.0349019,0.0288349,0.0245108,0.0411895,0.0384759,0.0437266,0.0755840,0.1015729,0.0467491
329.786,0.0443614,0.0524251,0.0430064,0.0366310,0.0366754,0.0295002,0.0245687,0.0388524,0.0386746,0.0425177,0.0923438,0.1159351,0.0533359
331.007,0.0489070,0.0531074,0.0426065,0.0362614,0.0390318,0.0298268,0.0254924,0.0371997,0.0392105,0.0409309,0.1078680,0.1279537,0.0611282
332.229,0.0555299,0.0552158,0.0419335,0.0362122,0.0423822,0.0305583,0.0273499,0.0361673,0.0386129,0.0393309,0.1221433,0.1376020,0.0692161
333.450,0.0639372,0.0585344,0.0424828,0.0362505,0.0460249,0.0315202,0.0299958,0.0369231,0.0378198,0.0387614,0.1337481,0.1447779,0.0761777
334.672,0.0730266,0.0639820,0.0418954,0.0366696,0.0500467,0.0324488,0.0321362,0.0375629,0.0363123,0.0398185,0.1425694,0.1478845,0.0812226
335.893,0.0816242,0.0703091,0.0415553,0.0368962,0.0545345,0.0340563,0.0348994,0.0404904,0.0354319,0.0417772,0.1472075,0.1480950,0.0849522
337.115,0.0892894,0.0762731,0.0395547,0.0361687,0.0591232,0.0349374,0.0370482,0.0443479,0.0346736,0.0439741,0.1464998,0.1437734,0.0845402
338.336,0.0968527,0.0833354,0.0392523,0.0362629,0.0654422,0.0371294,0.0407037,0.0499102,0.0358513,0.0490004,0.1433836,0.1376214,0.0826422
339.558,0.1021952,0.0893543,0.0373516,0.0344768,0.0698906,0.0396515,0.0431013,0.0550266,0.0372026,0.0538979,0.1359267,0.1284521,0.0771522
340.779,0.1055580,0.0952133,0.0368230,0.0340227,0.0752135,0.0431344,0.0468961,0.0616922,0.0407101,0.0599576,0.1253070,0.1181388,0.0718070
342.001,0.1048294,0.0986955,0.0340542,0.0309770,0.0782836,0.0468553,0.0486605,0.0667133,0.0436755,0.0641080,0.1106966,0.1049525,0.0631028
343.222,0.1033734,0.1015227,0.0332710,0.0298715,0.0828757,0.0513145,0.0532657,0.0720335,0.0497656,0.0695190,0.0965341,0.0935570,0.0564641
344.444,0.0999927,0.1029273,0.0313154,0.0277703,0.0857530,0.0566238,0.0580615,0.0752358,0.0562496,0.0735026,0.0817943,0.0825624,0.0502819
345.665,0.0946700,0.1018291,0.0303345,0.0263787,0.0873758,0.0618848,0.0639302,0.0769555,0.0637758,0.0764731,0.0673843,0.0725945,0.0465824
346.887,0.0882490,0.0997705,0.0285952,0.0244641,0.0880216,0.0673854,0.0692803,0.0769171,0.0698299,0.0768223,0.0552007,0.0637849,0.0449488
348.108,0.0818876,0.0966439,0.0280368,0.0235539,0.0890416,0.0725483,0.0766202,0.0756303,0.0767323,0.0764895,0.0471825,0.0583151,0.0471452
349.330,0.0771828,0.0928150,0.0272041,0.0234760,0.0896959,0.0771828,0.0852111,0.0720520,0.0836608,0.0749127,0.0441651,0.0564383,0.0542051
350.551,0.0742280,0.0883789,0.0270402,0.0232922,0.0899329,0.0819250,0.0944304,0.0673720,0.0896404,0.0716136,0.0458349,0.0573896,0.0649038
351.773,0.0727069,0.0838422,0.0260551,0.0230893,0.0894644,0.0849884,0.1028558,0.0615170,0.0931943,0.0666662,0.0514916,0.0599522,0.0788022
352.994,0.0740989,0.0805130,0.0260745,0.0238032,0.0902523,0.0871089,0.1115299,0.0556377,0.0957398,0.0615250,0.0624516,0.0655588,0.0959760
354.216,0.0791279,0.0782362,0.0255328,0.0243135,0.0916850,0.0880089,0.1198930,0.0491365,0.0975632,0.0565070,0.0769623,0.0730132,0.1153252
355.437,0.0868451,0.0778025,0.0259403,0.0251730,0.0940426,0.0890007,0.1280206,0.0436600,0.0986095,0.0520267,0.0941887,0.0827531,0.1370997
356.659,0.0971020,0.0783236,0.0255299,0.0251609,0.0961428,0.0886351,0.1337736,0.0389220,0.0969545,0.0470384,0.1111398,0.0910332,0.1572190
357.880,0.1092437,0.0814519,0.0266339,0.0259241,0.1001666,0.0881197,0.1388287,0.0359912,0.0949369,0.0438544,0.1287989,0.0996810,0.1773413
359.101,0.1222522,0.0859008,0.0268890,0.0259219,0.1040101,0.0867351,0.1412527,0.0335260,0.0918550,0.0416420,0.1445901,0.1063804,0.1947653
360.323,0.1361780,0.0922832,0.0283310,0.0266339,0.1096984,0.0860538,0.1440467,0.0333647,0.0898532,0.0416576,0.1584533,0.1123792,0.2111231
361.544,0.1489657,0.0985904,0.0292629,0.0264937,0.1140859,0.0858443,0.1435845,0.0345066,0.0863353,0.0412233,0.1679571,0.1145573,0.2218480
362.766,0.1606580,0.1056222,0.0324082,0.0277784,0.1195916,0.0861212,0.1428806,0.0375991,0.0838364,0.0434715,0.1749681,0.1143406,0.2293225
363.987,0.1703294,0.1127702,0.0352828,0.0293819,0.1237553,0.0874311,0.1403758,0.0402853,0.0812240,0.0460841,0.1780679,0.1118310,0.2320131
365.209,0.1776537,0.1188097,0.0391532,0.0318003,0.1285720,0.0897096,0.1382098,0.0439097,0.0811520,0.0494764,0.1772176,0.1071988,0.2317620
366.434,0.1819587,0.1238383,0.0430733,0.0349904,0.1318367,0.0933430,0.1359309,0.0471886,0.0804485,0.0523379,0.1722509,0.1003284,0.2257918
367.659,0.1835970,0.1271223,0.0486851,0.0395540,0.1343709,0.0983007,0.1345224,0.0508273,0.0816395,0.0553063,0.1648586,0.0933023,0.2154479
368.884,0.1821897,0.1294943,0.0544011,0.0455587,0.1349254,0.1038423,0.1329280,0.0527628,0.0827238,0.0586203,0.1551463,0.0863595,0.2017149
370.110,0.1776108,0.1294151,0.0603611,0.0520644,0.1348453,0.1099784,0.1326313,0.0538589,0.0846221,0.0606175,0.1422564,0.0803572,0.1853948
371.335,0.1704124,0.1276465,0.0656805,0.0593850,0.1338696,0.1165269,0.1343038,0.0542715,0.0861348,0.0613147,0.1281530,0.0753770,0.1661913
372.560,0.1612849,0.1249501,0.0721512,0.0677327,0.1316395,0.1233457,0.1376870,0.0541566,0.0867394,0.0622282,0.1143607,0.0737556,0.1454872
373.785,0.1500658,0.1198420,0.0775286,0.0756976,0.1271408,0.1288966,0.1411115,0.0524465,0.0857304,0.0615513,0.1002027,0.0739669,0.1237297
